,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,state
0,0,0.5860119651887414,2024-06-18 23:42:30.802001,2024-06-18 23:43:17.007052,0 days 00:00:46.205051,0.7418582203086443,0.1109725849512122,0.024451552270773856,6,5,59,0.603677078683012,0.5875332373076745,0.5860119651887414,0.592779154384811,0.5875332373076745,COMPLETE
1,1,0.6818160646770899,2024-06-18 23:43:17.108802,2024-06-18 23:45:44.310707,0 days 00:02:27.201905,0.8599475006450084,0.282253803569464,0.021669322691857812,7,1,236,0.9510720191400547,0.6809145347264366,0.6818160646770899,0.6851666002025162,0.6809145347264366,COMPLETE
2,2,0.8598472950376422,2024-06-18 23:45:44.346094,2024-06-18 23:50:07.905466,0 days 00:04:23.559372,0.6268112111580082,0.3853008214363461,0.05713302504400593,10,4,292,0.8485178146812029,0.8606628695099036,0.8598472950376422,0.8625711333611358,0.8606628695099036,COMPLETE
3,3,0.6520865865766833,2024-06-18 23:50:07.952682,2024-06-18 23:51:15.492531,0 days 00:01:07.539849,0.7625411980423413,0.3942925884857102,0.11752346669448435,4,1,201,0.6727770242958282,0.6526917649467351,0.6520865865766833,0.6554914900230536,0.6526917649467351,COMPLETE
4,4,0.7277679424668818,2024-06-18 23:51:15.526108,2024-06-18 23:53:06.729259,0 days 00:01:51.203151,0.8364484576861865,0.30924177366312117,0.011047486440585523,10,3,94,0.656807937935559,0.7265486574686758,0.7277679424668818,0.7321800378449037,0.7265486574686758,COMPLETE
5,5,0.595185250165979,2024-06-18 23:53:06.763627,2024-06-18 23:54:07.605579,0 days 00:01:00.841952,0.8449068173810537,0.13503964627692666,0.033842964421654236,4,5,184,0.9207178198577456,0.5964850709346904,0.595185250165979,0.599930833990766,0.5964850709346904,COMPLETE
6,6,,2024-06-18 23:54:07.640388,2024-06-18 23:55:45.209098,0 days 00:01:37.568710,0.7803181534999563,0.2823212575493466,0.13429368778885054,9,3,207,0.9388706201332188,,,,,FAIL
7,7,0.7469684494914691,2024-06-18 23:55:50.356148,2024-06-18 23:59:19.603787,0 days 00:03:29.247639,0.972566968079212,0.1618978431826731,0.026963350732485826,8,4,291,0.974183574356676,0.7468456545952177,0.7469684494914691,0.7492603167841348,0.7468456545952177,COMPLETE
