,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,state
32,32,0.9112973292746531,2024-06-22 22:39:37.569096,2024-06-22 22:43:42.803490,0 days 00:04:05.234394,0.8921590764097515,0.20304555787803433,0.16634836156775878,10,2,261,0.6294254202714258,0.9117977514397756,0.9112973292746531,0.9111672701233123,0.9117977514397756,COMPLETE
33,33,0.9069752954028921,2024-06-22 22:43:42.843526,2024-06-22 22:48:35.465709,0 days 00:04:52.622183,0.9336894098539501,0.17869951960962357,0.12585429735602793,10,1,286,0.6672409743445428,0.9075204663824893,0.9069752954028921,0.9068725907974825,0.9075204663824893,COMPLETE
34,34,0.8784655282723826,2024-06-22 22:48:35.524967,2024-06-22 22:52:25.273200,0 days 00:03:49.748233,0.8404554833204673,0.14929325606169655,0.10791493994118033,9,1,300,0.7037364027553155,0.8793635009882843,0.8784655282723826,0.8783838293429844,0.8793635009882843,COMPLETE
35,35,0.9084518235630998,2024-06-22 22:52:25.313213,2024-06-22 22:55:55.189912,0 days 00:03:29.876699,0.8216457892210922,0.20227193818782213,0.1951988294734817,10,2,229,0.9416428870944562,0.9089730372623426,0.9084518235630998,0.9083843774875033,0.9089730372623426,COMPLETE
36,36,0.8507158079956029,2024-06-22 22:55:55.230668,2024-06-22 22:57:54.796671,0 days 00:01:59.566003,0.9273466242962657,0.30542907317551393,0.1376731114226251,9,3,157,0.6277927685819478,0.8517280962791277,0.8507158079956029,0.8506083352087822,0.8517280962791277,COMPLETE
37,37,0.8779258807283625,2024-06-22 22:57:54.838782,2024-06-22 23:00:29.653722,0 days 00:02:34.814940,0.875366231856556,0.28004480734753523,0.16849464170853715,9,1,194,0.654770976007641,0.878834628704848,0.8779258807283625,0.8778359972211333,0.878834628704848,COMPLETE
38,38,0.8226416384165441,2024-06-22 23:00:29.705844,2024-06-22 23:03:23.798216,0 days 00:02:54.092372,0.8954900254308871,0.11289100015277972,0.08563725165445078,8,2,266,0.7330842454942601,0.8236344980709566,0.8226416384165441,0.8224561204449935,0.8236344980709566,COMPLETE
39,39,0.9028850364792581,2024-06-22 23:03:23.846196,2024-06-22 23:07:37.514394,0 days 00:04:13.668198,0.9972892000923451,0.18018339002151812,0.13108757950681377,10,5,285,0.79736579916575,0.9034917756704126,0.9028850364792581,0.9027430397979068,0.9034917756704126,COMPLETE
40,40,0.5883243444512881,2024-06-22 23:07:37.559827,2024-06-22 23:07:57.626000,0 days 00:00:20.066173,0.8197334400754683,0.249686107186097,0.15341904634555656,3,1,61,0.6193128618632262,0.5901824731237829,0.5883243444512881,0.5915354458133252,0.5901824731237829,COMPLETE
41,41,0.9186627378849356,2024-06-22 23:07:57.669898,2024-06-22 23:12:36.302656,0 days 00:04:38.632758,0.9157563645693285,0.18955647611398813,0.19929255224904183,10,2,300,0.6269225069531698,0.9190435454428026,0.9186627378849356,0.9185885088836221,0.9190435454428026,COMPLETE
42,42,0.9034452309749478,2024-06-22 23:12:36.353418,2024-06-22 23:16:15.637019,0 days 00:03:39.283601,0.8891667943456465,0.3974133913658864,0.1962166807881796,9,2,287,0.6725697897590761,0.9040474571479405,0.9034452309749478,0.9032679653630931,0.9040474571479405,COMPLETE
43,43,0.9111917532651752,2024-06-22 23:16:15.676412,2024-06-22 23:20:22.891096,0 days 00:04:07.214684,0.8549027057700865,0.17256077950101306,0.16817740956104454,10,2,268,0.6402528524386972,0.9116880774639476,0.9111917532651752,0.9110766335453212,0.9116880774639476,COMPLETE
44,44,0.9069786587629339,2024-06-22 23:20:22.946316,2024-06-22 23:24:35.727563,0 days 00:04:12.781247,0.9194337925355367,0.19302147865772126,0.13879783696744075,10,3,277,0.7034769821727898,0.9075424011776546,0.9069786587629339,0.9068541200546546,0.9075424011776546,COMPLETE
45,45,0.7495459565932355,2024-06-22 23:24:35.769773,2024-06-22 23:28:59.272481,0 days 00:04:23.502708,0.9717346199657699,0.1581146851297862,0.01385186529463026,9,2,289,0.6232091549528179,0.7490342597128491,0.7495459565932355,0.7508549076684737,0.7490342597128491,COMPLETE
46,46,0.6604607673242918,2024-06-22 23:28:59.315035,2024-06-22 23:30:16.818690,0 days 00:01:17.503655,0.835684544489448,0.1415244708155722,0.10539164224820985,4,2,249,0.8936708666910957,0.6610074895139493,0.6604607673242918,0.6615307074990332,0.6610074895139493,COMPLETE
47,47,0.8353330139420215,2024-06-22 23:30:16.855568,2024-06-22 23:31:42.243606,0 days 00:01:25.388038,0.9472131048696203,0.2646444336087966,0.12465333802504472,10,3,85,0.6859365873779681,0.8362006985013662,0.8353330139420215,0.8353666840414342,0.8362006985013662,COMPLETE
48,48,0.7756232243735907,2024-06-22 23:31:42.284694,2024-06-22 23:35:48.815465,0 days 00:04:06.530771,0.9207675185264174,0.21344867899647568,0.020075326454764383,9,2,292,0.7157771806023426,0.7757289054293492,0.7756232243735907,0.7761045285415887,0.7757289054293492,COMPLETE
49,49,0.8782164125304787,2024-06-22 23:35:48.855744,2024-06-22 23:37:57.075486,0 days 00:02:08.219742,0.8673750475411354,0.18761911747695426,0.17366887028470052,10,2,138,0.9922155011495014,0.879046665058115,0.8782164125304787,0.8782058687121698,0.879046665058115,COMPLETE
